statement,emotion
Dressing up tomorrow for basketball ,joy
But a dry day would bring bigger crowds and add to the excitement of the vital third round of the tournament  ,joy
was just getting excited about getting our xmas tree all set up amp then D found our shed roof collapsedamp all decorations are crushed ,joy
management  emotional repression,anger
The moment of when mother nature departs,joy
Today has been a mini Christmas day including snow music dancing so much food crackers presents and films ,joy
We are off and have great excitement fishing up treasure  fake  tied to bladders  ,joy
So I guess everyone in my family decided to have babies when I was at school somanybabieshere,surprise
Wonderful surprise from Mr Postman ,joy
D RT RevRunWisdom not afraid of tomorrow for I have seen yesterday and I love today less,fear
People go through things that we dont know Sobe nice to everyone bc it could make their dayStop being rude spread amp befortunate,joy
Cycling in the spring sunshine gives me such delight  Happiness is to be healthy my wonderful finance  Simply being here on earth,joy
When my cousin passed away unexpectedly and tragically a murder,sadness
RT follow unitednude and WIN one of the 5 special collector items that we are giving away to our Twitter friends RT WIN,surprise
Even though I walk through the valley of the shadow of death I will no evil for you are with me,fear
You ca nt get very excited when she brings home halfprice loo rolls and stale cough sweets  ,joy
Boy  What a beauty  I fall in love with her at the first sight  ,joy
My heart is so happy today  love peace greatful,joy
  I very very very very love my aunt Shes bought that Supras I had feeling This is just ,surprise
I was for the first time on a brigade this year At that time my sister was to bear a child I was mad with joy when I opened the telegram from my parents and learned I had a nephew,joy
I really just wanna sleep but I have work all dang weekend ,joy
The washing machine isnt working again  ,anger
Just ate at the shadiest Chinese buffet and now Im paying for it Eat that Kung pao cat meat ,disgust
 When we came to tell you that the service was postponed you were in a very agitated state  but then it was difficult to persuade you to leave off playing   ,fear
Mrs Rathburn says i never surprise her and now  she regrets saying that  ,surprise
Taking Nana Christmas Shopping ,joy
 is a state of mind is a state of heart,joy
ok me time then maybe some more me time then off to bed ,joy
The girl was glued to the spot  terrorstruck  popeyed  quivering  knowing for certain that the Day of Judgment had come for her at last  ,fear
Cleaned my dorm to find an entire box of cookies ,surprise
When I was chased by a big dog near my house,fear
off to work would rather be doing all my school shit gonnabealongnight,surprise
Surprising twitter less Brooke and Sarah for their birthdays  them ,surprise
Yeah nice punt ,sadness
Working on  is so unAmerican That being said I work tomorrow ,sadness
Ever fell in love with an article of clothingonly to wait too late to buy it hope that skirt turns up on ebay,sadness
Papers and football all day tomorrow ,joy
 ITS MY DICK IN A BOX GIRL ,surprise
Bon y fout lavouer je me fesait pas assez de pub mon blog etait normal et ma fan page paq assez remplimais va changer ,surprise
BiebersLov I told him to text me and he said he cant text BUT he still has itlt3 amp he has your parents too,sadness
never lead u u only lead it else survival is difficult,fear
If the essence of my being has caused a  to have appeared upon your face or a touch of within your heartThen i have made my mark,joy
Im scared Ill waste my life being Joe Shmoe with no dough ,fear
When my first boyfriend left me I tried not to let him understand I felt miserable,sadness
